CConnMsgMallocObject                 	    0.000176 MB 	    0.062500 MB
CEntityMallocObject                  	    0.013849 MB 	    0.062500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
GlobalPool                           	   10.654030 MB 	   44.062500 MB
CCfgCalcMallocObject                 	   24.500138 MB 	   26.187500 MB
CMagicStateMallocObject              	    0.005966 MB 	    0.062500 MB
CActorMallocObject                   	    0.005371 MB 	    0.062500 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CNetworkMallocObject                 	    0.001094 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    2.004550 MB 	    2.125000 MB
CNetworkSendBufferMallocObject       	    0.003978 MB 	    0.062500 MB
CMathMallocObject                    	    0.024129 MB 	    0.250000 MB
CValueMallocObject                   	    0.363994 MB 	    0.437500 MB
CSceneMallocObject                   	   19.781009 MB 	   20.187500 MB
CPtCORMallocObject                   	    0.004415 MB 	    0.062500 MB
CDataFileMallocObject                	   40.729207 MB 	   46.125000 MB
CCypherVariantMallocObject           	    0.135582 MB 	    0.187500 MB
CVariantMallocObject                 	    0.040172 MB 	    0.062500 MB
CTickMallocObject                    	    0.182761 MB 	    0.250000 MB
CBloodRenderMallocObject             	    0.005285 MB 	    0.062500 MB
CEffectMallocObject                  	    2.572805 MB 	    8.000000 MB
CBakeMallocObject                    	   20.000082 MB 	   20.125000 MB
CFighterMallocObject                 	    0.037376 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001138 MB 	    0.062500 MB
CTrMsgMallocObject                   	    0.000000 MB 	    0.000000 MB
CLogMallocObject                     	    0.000927 MB 	    0.125000 MB
CCoreObjMallocObject                 	    0.003127 MB 	    0.062500 MB
CCoreMsgMallocObject                 	    0.009915 MB 	    0.312500 MB
CConnMallocObject                    	    0.000530 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000743 MB 	    0.062500 MB
CMetaSceneMallocObject               	    0.001120 MB 	    0.062500 MB
CScriptPoolObject1                   	   51.481187 MB 	   93.750000 MB

CppMemTotal:                         	  291.262507 MB 	  387.187500 MB
CIDMapMallocObject                   	    0.220746 MB 	    0.312500 MB
CAudioMallocObject                   	    0.343759 MB 	    0.375000 MB
CMsgMallocObject                     	    0.005157 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.002107 MB 	    0.062500 MB
CFindPathMallocObject                	   13.486829 MB 	   13.687500 MB
CPTREFMallocObject                   	    0.000102 MB 	    0.062500 MB
SQRGuiMallocObject                   	   22.665039 MB 	   24.375000 MB
CFXMallocObject                      	    0.004082 MB 	    0.062500 MB
CConfigMallocObject                  	    8.581702 MB 	    9.437500 MB
CGraphicMallocObject                 	   72.197566 MB 	   74.187500 MB
CScriptMallocObject                  	    1.204648 MB 	    1.500000 MB
CConnMsgMallocObject                 	    0.000176 MB 	    0.062500 MB
CEntityMallocObject                  	    0.013849 MB 	    0.062500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
GlobalPool                           	   10.654226 MB 	   44.062500 MB
CCfgCalcMallocObject                 	   24.500138 MB 	   26.187500 MB
CMagicStateMallocObject              	    0.005966 MB 	    0.062500 MB
CActorMallocObject                   	    0.005371 MB 	    0.062500 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CNetworkMallocObject                 	    0.001094 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    2.004550 MB 	    2.125000 MB
CNetworkSendBufferMallocObject       	    0.003978 MB 	    0.062500 MB
CMathMallocObject                    	    0.021649 MB 	    0.250000 MB
CValueMallocObject                   	    0.363994 MB 	    0.437500 MB
CSceneMallocObject                   	   19.781009 MB 	   20.187500 MB
CPtCORMallocObject                   	    0.004415 MB 	    0.062500 MB
CDataFileMallocObject                	   40.729207 MB 	   46.125000 MB
CCypherVariantMallocObject           	    0.135582 MB 	    0.187500 MB
CVariantMallocObject                 	    0.040172 MB 	    0.062500 MB
CTickMallocObject                    	    0.183144 MB 	    0.250000 MB
CBloodRenderMallocObject             	    0.005285 MB 	    0.062500 MB
CEffectMallocObject                  	    2.572805 MB 	    8.000000 MB
CBakeMallocObject                    	   20.000082 MB 	   20.125000 MB
CFighterMallocObject                 	    0.037376 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001138 MB 	    0.062500 MB
CTrMsgMallocObject                   	    0.000000 MB 	    0.000000 MB
CLogMallocObject                     	    0.000927 MB 	    0.125000 MB
CCoreObjMallocObject                 	    0.003127 MB 	    0.062500 MB
CCoreMsgMallocObject                 	    0.009915 MB 	    0.312500 MB
CConnMallocObject                    	    0.000530 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000743 MB 	    0.062500 MB
CMetaSceneMallocObject               	    0.001120 MB 	    0.062500 MB
CScriptPoolObject1                   	   51.469202 MB 	   93.750000 MB

CppMemTotal:                         	  291.257447 MB 	  387.187500 MB
CIDMapMallocObject                   	    0.220746 MB 	    0.312500 MB
CAudioMallocObject                   	    0.343759 MB 	    0.375000 MB
CMsgMallocObject                     	    0.005157 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.002107 MB 	    0.062500 MB
CFindPathMallocObject                	   13.486829 MB 	   13.687500 MB
CPTREFMallocObject                   	    0.000102 MB 	    0.062500 MB
SQRGuiMallocObject                   	   22.665133 MB 	   24.375000 MB
CFXMallocObject                      	    0.004082 MB 	    0.062500 MB
CConfigMallocObject                  	    8.581702 MB 	    9.437500 MB
CGraphicMallocObject                 	   72.199869 MB 	   74.187500 MB
CScriptMallocObject                  	    1.204648 MB 	    1.500000 MB
CConnMsgMallocObject                 	    0.000176 MB 	    0.062500 MB
CEntityMallocObject                  	    0.013849 MB 	    0.062500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
GlobalPool                           	   10.654736 MB 	   44.062500 MB
CCfgCalcMallocObject                 	   24.500138 MB 	   26.187500 MB
CMagicStateMallocObject              	    0.005966 MB 	    0.062500 MB
CActorMallocObject                   	    0.005371 MB 	    0.062500 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CNetworkMallocObject                 	    0.001094 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    2.004550 MB 	    2.125000 MB
CNetworkSendBufferMallocObject       	    0.003978 MB 	    0.062500 MB
CMathMallocObject                    	    0.019170 MB 	    0.250000 MB
CValueMallocObject                   	    0.363994 MB 	    0.437500 MB
CSceneMallocObject                   	   19.781009 MB 	   20.187500 MB
CPtCORMallocObject                   	    0.004415 MB 	    0.062500 MB
CDataFileMallocObject                	   40.729207 MB 	   46.125000 MB
CCypherVariantMallocObject           	    0.135582 MB 	    0.187500 MB
CVariantMallocObject                 	    0.040172 MB 	    0.062500 MB
CTickMallocObject                    	    0.183510 MB 	    0.250000 MB
CBloodRenderMallocObject             	    0.005285 MB 	    0.062500 MB
CEffectMallocObject                  	    2.572805 MB 	    8.000000 MB
CBakeMallocObject                    	   20.000082 MB 	   20.125000 MB
CFighterMallocObject                 	    0.037376 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001138 MB 	    0.062500 MB
CTrMsgMallocObject                   	    0.000000 MB 	    0.000000 MB
CLogMallocObject                     	    0.000927 MB 	    0.125000 MB
CCoreObjMallocObject                 	    0.003127 MB 	    0.062500 MB
CCoreMsgMallocObject                 	    0.009915 MB 	    0.312500 MB
CConnMallocObject                    	    0.000530 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000743 MB 	    0.062500 MB
CMetaSceneMallocObject               	    0.001120 MB 	    0.062500 MB
CScriptPoolObject1                   	   51.463349 MB 	   93.750000 MB

CppMemTotal:                         	  291.281042 MB 	  387.187500 MB
CIDMapMallocObject                   	    0.220746 MB 	    0.312500 MB
CAudioMallocObject                   	    0.343731 MB 	    0.375000 MB
CMsgMallocObject                     	    0.005157 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.002107 MB 	    0.062500 MB
CFindPathMallocObject                	   13.486829 MB 	   13.687500 MB
CPTREFMallocObject                   	    0.000102 MB 	    0.062500 MB
SQRGuiMallocObject                   	   22.666023 MB 	   24.375000 MB
CFXMallocObject                      	    0.004082 MB 	    0.062500 MB
CConfigMallocObject                  	    8.581702 MB 	    9.437500 MB
CGraphicMallocObject                 	   72.201624 MB 	   74.187500 MB
CScriptMallocObject                  	    1.204648 MB 	    1.500000 MB
CConnMsgMallocObject                 	    0.000176 MB 	    0.062500 MB
CEntityMallocObject                  	    0.013849 MB 	    0.062500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
GlobalPool                           	   10.655500 MB 	   44.062500 MB
CCfgCalcMallocObject                 	   24.500138 MB 	   26.187500 MB
CMagicStateMallocObject              	    0.005966 MB 	    0.062500 MB
CActorMallocObject                   	    0.005371 MB 	    0.062500 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CNetworkMallocObject                 	    0.001094 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    2.004550 MB 	    2.125000 MB
CNetworkSendBufferMallocObject       	    0.003978 MB 	    0.062500 MB
CMathMallocObject                    	    0.023342 MB 	    0.250000 MB
CValueMallocObject                   	    0.363994 MB 	    0.437500 MB
CSceneMallocObject                   	   19.781009 MB 	   20.187500 MB
CPtCORMallocObject                   	    0.004415 MB 	    0.062500 MB
CDataFileMallocObject                	   40.729207 MB 	   46.125000 MB
CCypherVariantMallocObject           	    0.135582 MB 	    0.187500 MB
CVariantMallocObject                 	    0.040172 MB 	    0.062500 MB
CTickMallocObject                    	    0.183701 MB 	    0.250000 MB
CBloodRenderMallocObject             	    0.005285 MB 	    0.062500 MB
CEffectMallocObject                  	    2.572805 MB 	    8.000000 MB
CBakeMallocObject                    	   20.000082 MB 	   20.125000 MB
CFighterMallocObject                 	    0.037376 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001138 MB 	    0.062500 MB
CTrMsgMallocObject                   	    0.000000 MB 	    0.000000 MB
CLogMallocObject                     	    0.000927 MB 	    0.125000 MB
CCoreObjMallocObject                 	    0.003127 MB 	    0.062500 MB
CCoreMsgMallocObject                 	    0.009915 MB 	    0.312500 MB
CConnMallocObject                    	    0.000530 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000743 MB 	    0.062500 MB
CMetaSceneMallocObject               	    0.001120 MB 	    0.062500 MB
CScriptPoolObject1                   	   51.479198 MB 	   93.750000 MB

CppMemTotal:                         	  291.265489 MB 	  387.187500 MB
CIDMapMallocObject                   	    0.220746 MB 	    0.312500 MB
CAudioMallocObject                   	    0.343759 MB 	    0.375000 MB
CMsgMallocObject                     	    0.005157 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.002107 MB 	    0.062500 MB
CFindPathMallocObject                	   13.486829 MB 	   13.687500 MB
